original_message,property_type,area_sqft,price,price_unit,rent,rent_unit,location,furnishing,transaction_type,contact,is_real_estate,price_lakhs,rent_thousands,bhk_number,price_category,rent_category
"3BHK in Juhu. 2550 sqft, 4.1Cr sale. Beach facing, premium finishes. Exclusive location. Call: 9898765987",3,2550.0,41000000.0,CR,,,Juhu,,sale,9898765987,True,410.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1650 sqft, 1.08L rent. Premium building, all facilities. Corporate standards. WhatsApp: 9811165987",,1650.0,,,108000.0,L,Lower Parel,,rent,9811165987,True,,108.0,,,1L+
"2BHK in Malad. 940 sqft, 1.04Cr. 7 years old, good condition. Loan available. Contact: 9822265987",2,940.0,10400000.0,CR,,,Malad,,sale,9822265987,True,104.0,,2.0,1-2Cr,
"3BHK in Andheri. 1420 sqft, 76k rent. Fully furnished, modern appliances. Family only. Call: 9833365987",3,1420.0,,,76000.0,K,Andheri,,rent,9833365987,True,,76.0,3.0,,60k-1L
"1BHK in Thane. 690 sqft, 77L. Under construction, possession 8 months. RERA approved. Booking: 9844465987",1,690.0,,,,,Thane,,,9844465987,True,,,1.0,,
"Warehouse in Bhiwandi. 7500 sqft, 2.9L rent. G+2, heavy power, security. Industrial zone. Owner: 9855565987",,7500.0,,,290000.0,L,Bhiwandi,,rent,9855565987,True,,290.0,,,1L+
"4BHK in Worli. 3450 sqft, 9.4Cr. Sea facing, luxury amenities, 4 parking. Ultra premium. Agent: 9866665987",4,3450.0,94000000.0,CR,,,Worli,,sale,9866665987,True,940.0,,4.0,5Cr+,
"Retail in Bandra. 480 sqft, 87k rent. High street, good footfall. Established location. WhatsApp: 9877765987",,480.0,,,87000.0,K,Bandra,,rent,9877765987,True,,87.0,,,60k-1L
"2BHK in Goregaon. 980 sqft, 55k rent. 4th floor, corner flat. Good society. Contact: 9888865987",2,980.0,,,55000.0,K,Goregaon,,rent,9888865987,True,,55.0,2.0,,40-60k
"3BHK in Chembur. 1300 sqft, 1.7Cr sale. Ready to move, well maintained. Near station. Call: 9899965987",3,1300.0,17000000.0,CR,,,Chembur,,sale,9899965987,True,170.0,,3.0,1-2Cr,
"1BHK in Borivali. 660 sqft, 38k rent. 3rd floor, renovated. Good for family. WhatsApp: 9812376987",1,660.0,,,38000.0,K,Borivali,,rent,9812376987,True,,38.0,1.0,,20-40k
"3BHK service in South Mumbai. 1980 sqft, 1.72L rent. All inclusive, premium service. Minimum 1 year: 9823476987",3,1980.0,,,172000.0,L,,,rent,9823476987,True,,172.0,3.0,,1L+
"1RK PG in Andheri. 360 sqft, 18k with food. AC, attached bath, Wi-Fi. Professionals only. Contact: 9876576987",1,360.0,,,,,Andheri,,,9876576987,True,,,1.0,,
"2BHK auction in Kharghar. 1100 sqft, 95L. Bank property, clear title. Good potential. WhatsApp: 9811176987",2,1100.0,,,,,,,,9811176987,True,,,2.0,,
"3BHK in Seawoods. 1800 sqft, 3.2Cr. High floor, sea view, premium amenities. Ready: 9822276987",3,1800.0,32000000.0,CR,,,Seawoods,,sale,9822276987,True,320.0,,3.0,2-5Cr,
"Shop in Vashi. 600 sqft, 83k rent. Prime location, good visibility. Established market. Contact: 9833376987",,600.0,,,83000.0,K,Vashi,,rent,9833376987,True,,83.0,,,60k-1L
"1BHK in Santacruz. 560 sqft, 40k rent. 5th floor, semi-furnished. Near airport. Call: 9844476987",1,560.0,,,40000.0,K,Santacruz,,rent,9844476987,True,,40.0,1.0,,40-60k
"2BHK in Vile Parle. 840 sqft, 51k rent. 2nd floor, separate entrance. Good for clinic. WhatsApp: 9855576987",2,840.0,,,51000.0,K,Vile Parle,,rent,9855576987,True,,51.0,2.0,,40-60k
"3BHK in Bandra. 1780 sqft, 2.5Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9866676987",3,1780.0,25000000.0,CR,,,Bandra,,sale,9866676987,True,250.0,,3.0,2-5Cr,
"Office in Andheri. 1400 sqft, 95k rent. IT park, modern facilities. Suitable for startup. Contact: 9877776987",,1400.0,,,95000.0,K,Andheri,,rent,9877776987,True,,95.0,,,60k-1L
"4BHK in Powai. 3000 sqft, 6Cr. Luxury apartment, all amenities. Premium society. Call: 9888876987",4,3000.0,60000000.0,CR,,,Powai,,sale,9888876987,True,600.0,,4.0,5Cr+,
"1RK in Lokhandwala. 460 sqft, 25k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9899976987",1,460.0,,,25000.0,K,Lokhandwala,,rent,9899976987,True,,25.0,1.0,,20-40k
"2BHK in Kandivali. 920 sqft, 46k rent. 6th floor, park view. Family preferred. Contact: 9812387987",2,920.0,,,46000.0,K,Kandivali,,rent,9812387987,True,,46.0,2.0,,40-60k
"3BHK in Juhu. 2600 sqft, 4.2Cr sale. Beach facing, premium finishes. Exclusive location. Call: 9823487987",3,2600.0,42000000.0,CR,,,Juhu,,sale,9823487987,True,420.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1700 sqft, 1.1L rent. Premium building, all facilities. Corporate standards. WhatsApp: 9876587987",,1700.0,,,110000.00000000001,L,Lower Parel,,rent,9876587987,True,,110.00000000000001,,,1L+
"2BHK in Malad. 960 sqft, 1.06Cr. 8 years old, good condition. Loan available. Contact: 9898787987",2,960.0,10600000.0,CR,,,Malad,,sale,9898787987,True,106.0,,2.0,1-2Cr,
"3BHK in Andheri. 1440 sqft, 77k rent. Fully furnished, modern appliances. Family only. Call: 9811187987",3,1440.0,,,77000.0,K,Andheri,,rent,9811187987,True,,77.0,3.0,,60k-1L
"1BHK in Thane. 700 sqft, 78L. Under construction, possession 7 months. RERA approved. Booking: 9822287987",1,700.0,,,,,Thane,,,9822287987,True,,,1.0,,
"Warehouse in Bhiwandi. 8000 sqft, 3L rent. G+3, heavy power, security. Industrial zone. Owner: 9833387987",,8000.0,,,300000.0,L,Bhiwandi,,rent,9833387987,True,,300.0,,,1L+
"4BHK in Worli. 3500 sqft, 9.6Cr. Sea facing, luxury amenities, 4 parking. Ultra premium. Agent: 9844487987",4,3500.0,96000000.0,CR,,,Worli,,sale,9844487987,True,960.0,,4.0,5Cr+,
"Retail in Bandra. 500 sqft, 88k rent. High street, good footfall. Established location. WhatsApp: 9855587987",,500.0,,,88000.0,K,Bandra,,rent,9855587987,True,,88.0,,,60k-1L
"2BHK in Goregaon. 990 sqft, 56k rent. 5th floor, corner flat. Good society. Contact: 9866687987",2,990.0,,,56000.0,K,Goregaon,,rent,9866687987,True,,56.0,2.0,,40-60k
"3BHK in Chembur. 1320 sqft, 1.68Cr sale. Ready to move, well maintained. Near highway. Call: 9877787987",3,1320.0,16800000.0,CR,,,Chembur,,sale,9877787987,True,168.0,,3.0,1-2Cr,
"1BHK in Borivali. 680 sqft, 39k rent. 4th floor, renovated. Good for family. WhatsApp: 9888887987",1,680.0,,,39000.0,K,Borivali,,rent,9888887987,True,,39.0,1.0,,20-40k
"3BHK service in South Mumbai. 2000 sqft, 1.75L rent. All inclusive, premium service. Minimum 1 year: 9899987987",3,2000.0,,,175000.0,L,,,rent,9899987987,True,,175.0,3.0,,1L+
"1RK PG in Andheri. 380 sqft, 19k with food. AC, attached bath, Wi-Fi. Professionals only. Contact: 9812398987",1,380.0,,,,,Andheri,,,9812398987,True,,,1.0,,
"2BHK auction in Panvel. 1120 sqft, 98L. Bank property, clear title. Good investment. WhatsApp: 9876598987",2,1120.0,,,,,,,,9876598987,True,,,2.0,,
"3BHK in Seawoods. 1820 sqft, 3.25Cr. High floor, sea view, premium amenities. Ready: 9898798987",3,1820.0,32500000.0,CR,,,Seawoods,,sale,9898798987,True,325.0,,3.0,2-5Cr,
"Shop in Vashi. 620 sqft, 84k rent. Prime location, good visibility. Established market. Contact: 9811198987",,620.0,,,84000.0,K,Vashi,,rent,9811198987,True,,84.0,,,60k-1L
"1BHK in Santacruz. 580 sqft, 41k rent. 6th floor, semi-furnished. Near airport. Call: 9822298987",1,580.0,,,41000.0,K,Santacruz,,rent,9822298987,True,,41.0,1.0,,40-60k
"2BHK in Vile Parle. 860 sqft, 52k rent. 3rd floor, separate entrance. Good for office. WhatsApp: 9833398987",2,860.0,,,52000.0,K,Vile Parle,,rent,9833398987,True,,52.0,2.0,,40-60k
"3BHK in Bandra. 1800 sqft, 2.55Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9844498987",3,1800.0,25500000.0,CR,,,Bandra,,sale,9844498987,True,255.0,,3.0,2-5Cr,
"Office in Andheri. 1450 sqft, 98k rent. IT park, modern facilities. Suitable for IT company. Contact: 9855598987",,1450.0,,,98000.0,K,Andheri,,rent,9855598987,True,,98.0,,,60k-1L
"4BHK in Powai. 3050 sqft, 6.1Cr. Luxury apartment, all amenities. Premium society. Call: 9866698987",4,3050.0,61000000.0,CR,,,Powai,,sale,9866698987,True,610.0,,4.0,5Cr+,
"1RK in Lokhandwala. 480 sqft, 26k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9877798987 I'll generate another 600+ WhatsApp real estate messages to create a comprehensive dataset of 1200+ total messages: ```txt",1,480.0,,,26000.0,K,Lokhandwala,,rent,9877798987,True,,26.0,1.0,,20-40k
"2BHK in Kandivali West. 940 sqft, 47k rent. 7th floor, park facing. Family preferred. Security: 2 months. Call: 9888898987",2,940.0,,,47000.0,K,Kandivali,,rent,9888898987,True,,47.0,2.0,,40-60k
"3BHK duplex in Juhu. 2650 sqft, 4.3Cr sale. Private terrace, premium finishes. Exclusive location. Agent: 9899998987",3,2650.0,43000000.0,CR,,,Juhu,,sale,9899998987,True,430.0,,3.0,2-5Cr,
"Commercial space in Lower Parel. 1750 sqft, 1.12L rent. Premium building, meeting rooms. Corporate standards. Contact: 9812312346",,1750.0,,,112000.00000000001,L,Lower Parel,,rent,9812312346,True,,112.00000000000001,,,1L+
"2BHK resale in Malad East. 980 sqft, 1.08Cr. 9 years old, well maintained. Loan available. WhatsApp: 9823412346",2,980.0,10800000.0,CR,,,Malad,,sale,9823412346,True,108.0,,2.0,1-2Cr,
"3BHK furnished in Andheri West. 1460 sqft, 78k rent. All modern appliances. Family only. Call: 9876512346",3,1460.0,,,78000.0,K,Andheri,,rent,9876512346,True,,78.0,3.0,,60k-1L
"1BHK in Thane West. 720 sqft, 79L. Under construction, possession 6 months. RERA approved. Booking: 9898712346",1,720.0,,,,,Thane,,,9898712346,True,,,1.0,,
"Warehouse in Bhiwandi. 8500 sqft, 3.1L rent. G+4, heavy power. Industrial zone. Owner: 9811112346",,8500.0,,,310000.0,L,Bhiwandi,,rent,9811112346,True,,310.0,,,1L+
"4BHK penthouse in Worli. 3550 sqft, 9.8Cr. Sea facing, luxury amenities. Ultra premium. Agent: 9822212346",4,3550.0,98000000.0,CR,,,Worli,,sale,9822212346,True,980.0,,4.0,5Cr+,
"Retail shop in Bandra West. 520 sqft, 89k rent. High street location. Established market. Contact: 9833312346",,520.0,,,89000.0,K,Bandra,,rent,9833312346,True,,89.0,,,60k-1L
"2BHK available in Goregaon West. 1000 sqft, 57k rent. 6th floor, corner location. Good society. Call: 9844412346",2,1000.0,,,57000.0,K,Goregaon,,rent,9844412346,True,,57.0,2.0,,40-60k
"3BHK in Chembur East. 1340 sqft, 1.65Cr sale. Ready to move, well maintained. Near station. WhatsApp: 9855512346",3,1340.0,16500000.0,CR,,,Chembur,,sale,9855512346,True,165.0,,3.0,1-2Cr,
"1BHK in Borivali East. 700 sqft, 40k rent. 5th floor, renovated. Good for family. Contact: 9866612346",1,700.0,,,40000.0,K,Borivali,,rent,9866612346,True,,40.0,1.0,,40-60k
"3BHK service apartment in South Mumbai. 2050 sqft, 1.78L rent. All inclusive, daily housekeeping. Minimum 6 months: 9877712346",3,2050.0,,,178000.0,L,,,rent,9877712346,True,,178.0,3.0,,1L+
"1RK PG in Andheri East. 400 sqft, 20k with food. AC room, attached bathroom. Working professionals preferred. Call: 9888812346",1,400.0,,,,,Andheri,,,9888812346,True,,,1.0,,
"2BHK auction in Kharghar. 1150 sqft, 1.02Cr. Bank auction, clear title. Good investment opportunity. WhatsApp: 9812323456",2,1150.0,10200000.0,CR,,,,,sale,9812323456,True,102.0,,2.0,1-2Cr,
"3BHK in Seawoods. 1850 sqft, 3.3Cr. Premium location, high floor, sea view. Ready possession. Owner: 9823423456",3,1850.0,33000000.0,CR,,,Seawoods,,sale,9823423456,True,330.0,,3.0,2-5Cr,
"Commercial in Vashi mall. 650 sqft, 85k rent. Second floor, good visibility. Established footfall. Investment: 9876523456",,650.0,,,85000.0,K,Vashi,,rent,9876523456,True,,85.0,,,60k-1L
"1BHK in Santacruz West. 600 sqft, 42k rent. 7th floor, renovated. Near station. Contact: 9898723456",1,600.0,,,42000.0,K,Santacruz,,rent,9898723456,True,,42.0,1.0,,40-60k
"2BHK in Vile Parle West. 880 sqft, 53k rent. Semi-furnished, good locality. Family preferred. Call: 9811123456",2,880.0,,,53000.0,K,Vile Parle,,rent,9811123456,True,,53.0,2.0,,40-60k
"3BHK in Bandra East. 1850 sqft, 2.6Cr sale. Well maintained, modern amenities. Good connectivity. Contact: 9822223456",3,1850.0,26000000.0,CR,,,Bandra,,sale,9822223456,True,260.0,,3.0,2-5Cr,
"Office in Andheri West. 1500 sqft, 1L rent. IT park, fiber internet, parking. Ideal for IT company. WhatsApp: 9833323456",,1500.0,,,100000.0,L,Andheri,,rent,9833323456,True,,100.0,,,1L+
"4BHK in Powai. 3100 sqft, 6.2Cr. Luxury apartment, clubhouse, swimming pool. Premium society. Call: 9844423456",4,3100.0,62000000.0,CR,,,Powai,,sale,9844423456,True,620.0,,4.0,5Cr+,
"1RK in Lokhandwala. 500 sqft, 27k rent. Basic furniture, all utilities. Good for students. Contact: 9855523456",1,500.0,,,27000.0,K,Lokhandwala,,rent,9855523456,True,,27.0,1.0,,20-40k
"2BHK in Kandivali East. 960 sqft, 48k rent. 8th floor, quiet area. Security: 2 months. Call: 9866623456",2,960.0,,,48000.0,K,Kandivali,,rent,9866623456,True,,48.0,2.0,,40-60k
"3BHK in Juhu. 2700 sqft, 4.4Cr sale. Beach facing, premium finishes, modern kitchen. Exclusive: 9877723456",3,2700.0,44000000.0,CR,,,Juhu,,sale,9877723456,True,440.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1800 sqft, 1.15L rent. Premium building, reception, meeting room. Corporate: 9888823456",,1800.0,,,114999.99999999999,L,Lower Parel,,rent,9888823456,True,,114.99999999999999,,,1L+
"2BHK in Malad West. 1000 sqft, 1.1Cr. 10 years old, good condition. Loan available. Contact: 9899923456",2,1000.0,11000000.0,CR,,,Malad,,sale,9899923456,True,110.0,,2.0,1-2Cr,
"3BHK in Andheri East. 1480 sqft, 79k rent. Fully furnished, all appliances. Family only. WhatsApp: 9812334567",3,1480.0,,,79000.0,K,Andheri,,rent,9812334567,True,,79.0,3.0,,60k-1L
"1BHK in Thane East. 740 sqft, 80L. Under construction, possession 5 months. RERA registered. Booking: 9823434567",1,740.0,,,,,Thane,,,9823434567,True,,,1.0,,
"Warehouse in Bhiwandi. 9000 sqft, 3.2L rent. G+5, heavy power, security. Industrial area. Owner: 9876534567",,9000.0,,,320000.0,L,Bhiwandi,,rent,9876534567,True,,320.0,,,1L+
"4BHK in Worli. 3600 sqft, 10Cr. Sea facing, private terrace, luxury amenities. Ultra premium. Agent: 9898734567",4,3600.0,100000000.0,CR,,,Worli,,sale,9898734567,True,1000.0,,4.0,5Cr+,
"Retail in Bandra. 540 sqft, 90k rent. High street, good footfall. Established location. Contact: 9811134567",,540.0,,,90000.0,K,Bandra,,rent,9811134567,True,,90.0,,,60k-1L
"2BHK in Goregaon East. 1020 sqft, 58k rent. 7th floor, corner location. Good society. Call: 9822234567",2,1020.0,,,58000.0,K,Goregaon,,rent,9822234567,True,,58.0,2.0,,40-60k
"3BHK in Chembur West. 1360 sqft, 1.62Cr sale. Ready to move, well maintained. Near station. WhatsApp: 9833334567",3,1360.0,16200000.000000002,CR,,,Chembur,,sale,9833334567,True,162.00000000000003,,3.0,1-2Cr,
"1BHK in Borivali West. 720 sqft, 41k rent. 6th floor, renovated. Good for family. Contact: 9844434567",1,720.0,,,41000.0,K,Borivali,,rent,9844434567,True,,41.0,1.0,,40-60k
"3BHK service in South Mumbai. 2100 sqft, 1.8L rent. All inclusive, premium service. Minimum 1 year: 9855534567",3,2100.0,,,180000.0,L,,,rent,9855534567,True,,180.0,3.0,,1L+
"1RK PG in Andheri East. 420 sqft, 21k with food. AC, attached bath, Wi-Fi. Professionals only. Call: 9866634567",1,420.0,,,,,Andheri,,,9866634567,True,,,1.0,,
"2BHK auction in Panvel. 1180 sqft, 1.05Cr. Bank property, clear title. Good potential. WhatsApp: 9888834567",2,1180.0,10500000.0,CR,,,,,sale,9888834567,True,105.0,,2.0,1-2Cr,
"3BHK in Seawoods. 1880 sqft, 3.35Cr. High floor, sea view, premium amenities. Ready: 9899934567",3,1880.0,33500000.0,CR,,,Seawoods,,sale,9899934567,True,335.0,,3.0,2-5Cr,
"Shop in Vashi. 680 sqft, 86k rent. Prime location, good visibility. Established market. Contact: 9812345678",,680.0,,,86000.0,K,Vashi,,rent,9812345678,True,,86.0,,,60k-1L
"1BHK in Santacruz. 620 sqft, 43k rent. 8th floor, semi-furnished. Near airport. Call: 9823445678",1,620.0,,,43000.0,K,Santacruz,,rent,9823445678,True,,43.0,1.0,,40-60k
"2BHK in Vile Parle. 900 sqft, 54k rent. 4th floor, separate entrance. Good for clinic. WhatsApp: 9876545678",2,900.0,,,54000.0,K,Vile Parle,,rent,9876545678,True,,54.0,2.0,,40-60k
"3BHK in Bandra. 1900 sqft, 2.65Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9898745678",3,1900.0,26500000.0,CR,,,Bandra,,sale,9898745678,True,265.0,,3.0,2-5Cr,
"Office in Andheri. 1550 sqft, 1.02L rent. IT park, modern facilities. Suitable for startup. Contact: 9811145678",,1550.0,,,102000.0,L,Andheri,,rent,9811145678,True,,102.0,,,1L+
"4BHK in Powai. 3150 sqft, 6.3Cr. Luxury apartment, all amenities. Premium society. Call: 9822245678",4,3150.0,63000000.0,CR,,,Powai,,sale,9822245678,True,630.0,,4.0,5Cr+,
"1RK in Lokhandwala. 520 sqft, 28k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9833345678",1,520.0,,,28000.0,K,Lokhandwala,,rent,9833345678,True,,28.0,1.0,,20-40k
"2BHK in Kandivali. 980 sqft, 49k rent. 9th floor, park view. Family preferred. Contact: 9844445678",2,980.0,,,49000.0,K,Kandivali,,rent,9844445678,True,,49.0,2.0,,40-60k
"3BHK in Juhu. 2750 sqft, 4.5Cr sale. Beach facing, premium finishes. Exclusive location. Call: 9855545678",3,2750.0,45000000.0,CR,,,Juhu,,sale,9855545678,True,450.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1850 sqft, 1.18L rent. Premium building, all facilities. Corporate standards. WhatsApp: 9866645678",,1850.0,,,118000.0,L,Lower Parel,,rent,9866645678,True,,118.0,,,1L+
"2BHK in Malad. 1020 sqft, 1.12Cr. 11 years old, good condition. Loan available. Contact: 9877745678",2,1020.0,11200000.000000002,CR,,,Malad,,sale,9877745678,True,112.00000000000001,,2.0,1-2Cr,
"3BHK in Andheri. 1500 sqft, 80k rent. Fully furnished, modern appliances. Family only. Call: 9888845678",3,1500.0,,,80000.0,K,Andheri,,rent,9888845678,True,,80.0,3.0,,60k-1L
"1BHK in Thane. 760 sqft, 81L. Under construction, possession 4 months. RERA approved. Booking: 9899945678",1,760.0,,,,,Thane,,,9899945678,True,,,1.0,,
"Warehouse in Bhiwandi. 9500 sqft, 3.3L rent. G+6, heavy power, security. Industrial zone. Owner: 9812356789",,9500.0,,,330000.0,L,Bhiwandi,,rent,9812356789,True,,330.0,,,1L+
"4BHK in Worli. 3650 sqft, 10.2Cr. Sea facing, luxury amenities, 4 parking. Ultra premium. Agent: 9823456789",4,3650.0,102000000.0,CR,,,Worli,,sale,9823456789,True,1020.0,,4.0,5Cr+,
"Retail in Bandra. 560 sqft, 91k rent. High street, good footfall. Established location. WhatsApp: 9876556789",,560.0,,,91000.0,K,Bandra,,rent,9876556789,True,,91.0,,,60k-1L
"2BHK in Goregaon. 1040 sqft, 59k rent. 8th floor, corner flat. Good society. Contact: 9898756789",2,1040.0,,,59000.0,K,Goregaon,,rent,9898756789,True,,59.0,2.0,,40-60k
"3BHK in Chembur. 1380 sqft, 1.6Cr sale. Ready to move, well maintained. Near highway. Call: 9811156789",3,1380.0,16000000.0,CR,,,Chembur,,sale,9811156789,True,160.0,,3.0,1-2Cr,
"1BHK in Borivali. 740 sqft, 42k rent. 7th floor, renovated. Good for family. WhatsApp: 9822256789",1,740.0,,,42000.0,K,Borivali,,rent,9822256789,True,,42.0,1.0,,40-60k
"3BHK service in South Mumbai. 2150 sqft, 1.82L rent. All inclusive, premium service. Minimum 1 year: 9833356789",3,2150.0,,,182000.0,L,,,rent,9833356789,True,,182.0,3.0,,1L+
"1RK PG in Andheri. 440 sqft, 22k with food. AC, attached bath, Wi-Fi. Professionals only. Contact: 9844456789",1,440.0,,,,,Andheri,,,9844456789,True,,,1.0,,
"2BHK auction in Kharghar. 1200 sqft, 1.08Cr. Bank property, clear title. Good investment. WhatsApp: 9866656789",2,1200.0,10800000.0,CR,,,,,sale,9866656789,True,108.0,,2.0,1-2Cr,
"3BHK in Seawoods. 1900 sqft, 3.4Cr. High floor, sea view, premium amenities. Ready: 9877756789",3,1900.0,34000000.0,CR,,,Seawoods,,sale,9877756789,True,340.0,,3.0,2-5Cr,
"Shop in Vashi. 700 sqft, 87k rent. Prime location, good visibility. Established market. Contact: 9888856789",,700.0,,,87000.0,K,Vashi,,rent,9888856789,True,,87.0,,,60k-1L
"1BHK in Santacruz. 640 sqft, 44k rent. 9th floor, semi-furnished. Near airport. Call: 9899956789",1,640.0,,,44000.0,K,Santacruz,,rent,9899956789,True,,44.0,1.0,,40-60k
"2BHK in Vile Parle. 920 sqft, 55k rent. 5th floor, separate entrance. Good for office. WhatsApp: 9812367890",2,920.0,,,55000.0,K,Vile Parle,,rent,9812367890,True,,55.0,2.0,,40-60k
"3BHK in Bandra. 1950 sqft, 2.7Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9823467890",3,1950.0,27000000.0,CR,,,Bandra,,sale,9823467890,True,270.0,,3.0,2-5Cr,
"Office in Andheri. 1600 sqft, 1.05L rent. IT park, modern facilities. Suitable for IT company. Contact: 9876567890",,1600.0,,,105000.0,L,Andheri,,rent,9876567890,True,,105.0,,,1L+
"4BHK in Powai. 3200 sqft, 6.4Cr. Luxury apartment, all amenities. Premium society. Call: 9898767890",4,3200.0,64000000.0,CR,,,Powai,,sale,9898767890,True,640.0,,4.0,5Cr+,
"1RK in Lokhandwala. 540 sqft, 29k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9811167890",1,540.0,,,29000.0,K,Lokhandwala,,rent,9811167890,True,,29.0,1.0,,20-40k
"2BHK in Kandivali. 1000 sqft, 50k rent. 10th floor, park view. Family preferred. Contact: 9822267890",2,1000.0,,,50000.0,K,Kandivali,,rent,9822267890,True,,50.0,2.0,,40-60k
"3BHK in Juhu. 2800 sqft, 4.6Cr sale. Beach facing, premium finishes. Exclusive location. Call: 9833367890",3,2800.0,46000000.0,CR,,,Juhu,,sale,9833367890,True,460.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1900 sqft, 1.2L rent. Premium building, all facilities. Corporate standards. WhatsApp: 9844467890",,1900.0,,,120000.0,L,Lower Parel,,rent,9844467890,True,,120.0,,,1L+
"2BHK in Malad. 1040 sqft, 1.14Cr. 12 years old, good condition. Loan available. Contact: 9855567890",2,1040.0,11399999.999999998,CR,,,Malad,,sale,9855567890,True,113.99999999999999,,2.0,1-2Cr,
"3BHK in Andheri. 1520 sqft, 81k rent. Fully furnished, modern appliances. Family only. Call: 9866667890",3,1520.0,,,81000.0,K,Andheri,,rent,9866667890,True,,81.0,3.0,,60k-1L
"1BHK in Thane. 780 sqft, 82L. Under construction, possession 3 months. RERA approved. Booking: 9877767890",1,780.0,,,,,Thane,,,9877767890,True,,,1.0,,
"Warehouse in Bhiwandi. 10000 sqft, 3.4L rent. G+7, heavy power, security. Industrial zone. Owner: 9888867890",,10000.0,,,340000.0,L,Bhiwandi,,rent,9888867890,True,,340.0,,,1L+
"4BHK in Worli. 3700 sqft, 10.4Cr. Sea facing, luxury amenities, 4 parking. Ultra premium. Agent: 9899967890",4,3700.0,104000000.0,CR,,,Worli,,sale,9899967890,True,1040.0,,4.0,5Cr+,
"Retail in Bandra. 580 sqft, 92k rent. High street, good footfall. Established location. Contact: 9812378901",,580.0,,,92000.0,K,Bandra,,rent,9812378901,True,,92.0,,,60k-1L
"2BHK in Goregaon. 1060 sqft, 60k rent. 9th floor, corner location. Good society. Call: 9823478901",2,1060.0,,,60000.0,K,Goregaon,,rent,9823478901,True,,60.0,2.0,,60k-1L
"3BHK in Chembur. 1400 sqft, 1.58Cr sale. Ready to move, well maintained. Near station. WhatsApp: 9876578901",3,1400.0,15800000.0,CR,,,Chembur,,sale,9876578901,True,158.0,,3.0,1-2Cr,
"1BHK in Borivali. 760 sqft, 43k rent. 8th floor, renovated. Good for family. Contact: 9898778901",1,760.0,,,43000.0,K,Borivali,,rent,9898778901,True,,43.0,1.0,,40-60k
"3BHK service in South Mumbai. 2200 sqft, 1.85L rent. All inclusive, premium service. Minimum 1 year: 9811178901",3,2200.0,,,185000.0,L,,,rent,9811178901,True,,185.0,3.0,,1L+
"1RK PG in Andheri. 460 sqft, 23k with food. AC, attached bath, Wi-Fi. Professionals only. Call: 9822278901",1,460.0,,,,,Andheri,,,9822278901,True,,,1.0,,
"2BHK auction in Panvel. 1220 sqft, 1.1Cr. Bank property, clear title. Good potential. Contact: 9844478901",2,1220.0,11000000.0,CR,,,,,sale,9844478901,True,110.0,,2.0,1-2Cr,
"3BHK in Seawoods. 1920 sqft, 3.45Cr. High floor, sea view, premium amenities. Ready: 9855578901",3,1920.0,34500000.0,CR,,,Seawoods,,sale,9855578901,True,345.0,,3.0,2-5Cr,
"Shop in Vashi. 720 sqft, 88k rent. Prime location, good visibility. Established market. Call: 9866678901",,720.0,,,88000.0,K,Vashi,,rent,9866678901,True,,88.0,,,60k-1L
"1BHK in Santacruz. 660 sqft, 45k rent. 10th floor, semi-furnished. Near airport. WhatsApp: 9877778901",1,660.0,,,45000.0,K,Santacruz,,rent,9877778901,True,,45.0,1.0,,40-60k
"2BHK in Vile Parle. 940 sqft, 56k rent. 6th floor, separate entrance. Good for clinic. Contact: 9888878901",2,940.0,,,56000.0,K,Vile Parle,,rent,9888878901,True,,56.0,2.0,,40-60k
"3BHK in Bandra. 2000 sqft, 2.75Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9899978901",3,2000.0,27500000.0,CR,,,Bandra,,sale,9899978901,True,275.0,,3.0,2-5Cr,
"Office in Andheri. 1650 sqft, 1.08L rent. IT park, modern facilities. Suitable for startup. Call: 9812389012",,1650.0,,,108000.0,L,Andheri,,rent,9812389012,True,,108.0,,,1L+
"4BHK in Powai. 3250 sqft, 6.5Cr. Luxury apartment, all amenities. Premium society. WhatsApp: 9823489012",4,3250.0,65000000.0,CR,,,Powai,,sale,9823489012,True,650.0,,4.0,5Cr+,
"1RK in Lokhandwala. 560 sqft, 30k rent. Fully furnished, all utilities. Good for professionals. Contact: 9876589012",1,560.0,,,30000.0,K,Lokhandwala,,rent,9876589012,True,,30.0,1.0,,20-40k
"2BHK in Kandivali. 1020 sqft, 51k rent. 11th floor, park view. Family preferred. Call: 9898789012",2,1020.0,,,51000.0,K,Kandivali,,rent,9898789012,True,,51.0,2.0,,40-60k
